sourceId,lineId,customerId,validAfter,expiryDate,sku,attribute1,attribute2,attribute7,attribute11,userGroupEdit,userGroupViewDetails
P-0107,p184zl558ASOp07,,2020-07-01,2020-08-08,Pfx-abc-8,48,14.4,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0111,550o6437kgoOso8,CH-0047,2020-11-04,2020-11-17,Pfx-abc-4,40,17,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0112,qQw213r65Pr5833,CD-00049,2019-03-04,2019-03-22,Pfx-2.9,80,31.2,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0113,BN2c88uQqecFY1i,CD-00084,2021-12-02,2022-01-08,Pfx-2.9,40,42.9,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0114,s821Hc6T982lDK0,CD-00005,2019-06-16,2019-07-17,Pfx-3.3,220,17.1,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0114,aF01B2416x8A6cG,CD-00072,2019-03-11,2019-04-11,Pfx-abc-4,80,15.3,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0115,5g519dgvs64D5y5,,2020-07-02,2020-07-09,Pfx-abc-1,47,13.6,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0118,0Q66sa91J1cef54,CD-00042,2020-09-07,2020-09-10,Pfx-3.3,20,17.1,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0131,VJ0n192752Yf42m,CG-0035,2020-10-07,2020-11-01,Pfx-3.3,310,17.1,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0132,b57856O3225GB8z,,2020-12-12,2021-01-14,Pfx-2.9,1,31.2,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0132,9S1l537y8nba0I4,,2020-01-25,2020-02-10,Pfx-abc-5,3,9.6,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0134,49d2G6mEz41Ct9j,CD-00090,2021-03-21,2021-04-05,Pfx-3.1,190,16.5,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0136,SE1S35nlGO552Fv,CD-00039,2021-05-16,2021-07-10,Pfx-3.4,80,9.6,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0136,76huZP8Z9lO81E0,CG-0026,2020-11-22,2021-01-04,Pfx-abc-2,30,11.2,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0140,19j5h8wa0u6W71I,CG-0028,2020-05-28,2020-07-05,Pfx-3.0,110,20.9,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0140,4h3W8VKt8B9J05p,CD-00117,2020-12-23,2021-01-12,Pfx-abc-8,40,14.4,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0141,147Jr9PIfn58G09,CD-00019,2020-08-26,2020-09-22,Pfx-3.0,230,19,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0143,0186OyOgaz4W4j5,,2020-05-11,2020-07-07,Pfx-6.0,5,33,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0146,1F96R8g9wu4O3xE,CG-0028,2020-04-18,2020-05-23,Pfx-abc-3,260,7.2,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0150,89zqDOS8233LhE0,CD-00077,2019-07-20,2019-08-12,Pfx-4.0,40,13.5,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0153,935193607Ku7m0o,CD-00061,2020-06-28,2020-07-27,Pfx-5.0,70,8,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0161,9W0L8E1d22vikw4,CD-00001,2020-02-28,2020-04-01,Pfx-3.7,20,10.4,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0162,s37ZdjmpYY28D6x,CD-00061,2020-12-11,2021-01-13,Pfx-5.0,120,9,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0166,5652x8sXgm80K84,CD-00029,2019-02-23,2019-02-27,Pfx-2.9,120,42.9,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0167,HN6aSr029639q88,CD-00023,2019-02-18,2019-03-17,Pfx-2.7,770,16,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0169,pDi8Rz772082d22,CD-00029,2021-08-06,2021-08-09,Pfx-2.7,180,17.6,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0171,i707Z0p7yCkw684,CH-0034,2021-05-28,2021-06-01,Pfx-2.8,320,19,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0172,w1XT9A9d4UuY12B,CG-0020,2020-11-29,2021-01-26,Pfx-6.0,70,33,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0173,aE9P186pZ9393UV,CD-00103,2020-06-15,2020-06-20,Pfx-3.1,50,15,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0173,Qy551F4eF56865M,,2019-09-22,2019-10-12,Pfx-3.3,13,17.1,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0173,2EwZ3UaY42nr1Q8,CD-00137,2020-04-15,2020-05-07,Pfx-abc-7,250,8.8,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0174,X7Xmp9nt5HoG73B,CG-0034,2020-11-06,2020-11-28,Pfx-abc-3,710,9,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0175,7K27y72p0abHf8p,,2021-12-10,2021-12-15,Pfx-6.0,17,24,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0176,2W3D41E76518V83,CG-0031,2019-05-13,2019-05-31,Pfx-6.0,1,24,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0181,46t1DNa33M0xY19,,2019-01-31,2019-02-17,Pfx-abc-1,24,18.7,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0193,LG5s317dJ40826b,,2021-06-22,2021-07-17,Pfx-abc-4,7,17,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0195,kYD401CG2Ur95kM,CD-00105,2019-06-04,2019-06-07,Pfx-3.3,1,17.1,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0199,7u6LJd554AtfXtw,CH-0019,2019-07-12,2019-08-18,Pfx-abc-5,340,10.8,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0201,DRG7ke49gMM913i,CH-0013,2020-05-18,2020-07-02,Pfx-5.0,100,8,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0203,VG9fm2usP81e4K6,CG-0027,2019-07-26,2019-08-19,Pfx-abc-5,10,10.8,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0204,ymyFfKa7R7l265l,,2021-04-23,2021-06-20,Pfx-3.2,4,12.1,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0214,cfQ12CTQPrC648K,,2019-02-16,2019-03-05,Pfx-abc-6,3,15.2,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0216,jE0Hy8nJ869yC57,,2020-10-12,2020-11-08,Pfx-3.3,19,19,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0216,54GN984thrl18VJ,CG-0013,2019-09-17,2019-11-03,Pfx-3.7,130,11.7,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0223,Kmx11a5t8w9V2AT,CD-00123,2020-12-12,2021-01-29,Pfx-2.9,10,31.2,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0224,6JC9C5mhsS8jmXl,CH-0019,2020-10-07,2020-10-29,Pfx-3.1,330,15,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0232,432F90709vd76v2,,2021-03-10,2021-04-16,Pfx-3.6,5,16.5,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0237,61vKU3xh1gw1dK6,CD-00074,2019-10-19,2019-11-29,Pfx-6.0,40,33,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0241,49pO8n7S1ZF47jg,CG-0011,2019-10-05,2019-10-13,Pfx-3.3,200,19,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0243,iJ3971j6lMhO9e2,CD-00086,2020-08-11,2020-08-18,Pfx-3.3,180,20.9,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0251,1M852oY4X42bb12,CD-00050,2020-08-18,2020-09-26,Pfx-abc-4,560,18.7,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0252,u1YTy67B1gi1mm7,,2019-12-01,2019-12-12,Pfx-abc-8,3,14.4,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0253,9J2WZA234x187s4,CD-00018,2020-02-15,2020-03-05,Pfx-3.5,690,13,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0255,590Bh47tf4gBNCC,,2020-05-20,2020-06-14,Pfx-abc-6,3,19,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0257,46sgWQ63L196C8D,CD-00037,2021-04-07,2021-04-21,Pfx-2.9,40,31.2,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0257,x4PX29wR8gJx3M8,CH-0015,2020-01-07,2020-01-29,Pfx-abc-2,120,11.2,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0260,JSalpW6F6e80Y21,CD-00017,2019-03-25,2019-04-04,Pfx-2.8,350,15.2,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0262,GK22q4b87z4A4rr,CD-00021,2021-03-21,2021-04-27,Pfx-abc-2,280,14,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0263,bO13225rddoU92L,CH-0005,2020-09-12,2020-09-30,Pfx-4.0,50,12,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0270,Fb235o7934gO0b8,CG-0007,2019-02-06,2019-02-26,Pfx-3.2,410,8.8,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0273,98O2W04eo09904b,CD-00135,2020-06-17,2020-08-11,Pfx-abc-4,20,15.3,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0274,151rdG2O2P6daC8,CD-00137,2020-04-25,2020-05-15,Pfx-abc-1,30,15.3,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0284,MrC74F88Rw7O9mH,CH-0001,2021-12-01,2021-12-17,Pfx-abc-8,70,16.2,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0286,Q3Ek5E3mA5UcOD6,CD-00051,2019-11-04,2019-12-25,Pfx-3.0,310,19,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0286,PxZmV2NcI4Ty1e6,,2020-10-13,2020-11-17,Pfx-5.0,19,11,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0289,FNz8hxEv048928A,,2019-04-07,2019-05-28,Pfx-abc-7,22,9.9,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0293,D3g13Q128Uah93q,CH-0047,2020-08-06,2020-08-13,Pfx-2.9,20,39,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0293,886161g920Y1978,CD-00084,2021-01-26,2021-02-05,Pfx-3.4,30,9.6,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0293,jsc69K8413m9VA2,CD-00035,2021-07-02,2021-08-05,Pfx-abc-2,30,15.4,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0294,rq774r5N407629W,CG-0025,2019-12-27,2020-01-09,Pfx-2.7,140,14.4,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0295,18zvL137R097vVY,,2020-11-19,2021-01-16,Pfx-abc-1,22,13.6,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0301,EG8yC7414v3s09V,CG-0023,2021-07-03,2021-08-10,Pfx-3.0,20,15.2,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0301,W99D0y2dlC1iHIJ,,2019-12-22,2020-01-11,Pfx-abc-3,11,9.9,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0302,zPyJU2Q0pXi0m5l,CH-0001,2019-11-10,2019-12-22,Pfx-5.0,70,9,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0306,wM08e2Z8mjiOg36,CD-00145,2019-09-01,2019-10-06,Pfx-abc-1,60,17,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0311,2500ix07Wt1NI8J,CD-00097,2019-06-20,2019-07-09,Pfx-abc-1,60,17,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0313,W105z41SJha26uu,,2021-11-26,2021-12-18,Pfx-3.4,32,12,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0317,8d5L8O823621Js5,CD-00085,2020-10-23,2020-12-02,Pfx-2.8,230,15.2,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0317,sXL6S1U4g8857S9,,2020-12-21,2021-02-16,Pfx-3.6,7,13.5,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0321,d4JD0T28k4uP37h,CG-0004,2021-02-05,2021-03-25,Pfx-2.8,360,17.1,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0322,9RluT1o64kyYJ1d,,2020-04-04,2020-06-02,Pfx-3.0,18,19,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0323,nLS835657INl186,,2021-07-23,2021-08-29,Pfx-3.2,66,8.8,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0323,eV9S2O7B1F3o86C,CD-00037,2019-06-06,2019-07-09,Pfx-abc-3,1,8.1,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0324,772196EVPOph88J,,2020-01-22,2020-03-01,Pfx-3.3,10,20.9,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0329,3F46KQj2Cjp0vpG,CD-00049,2021-11-24,2021-12-31,Pfx-5.0,140,9,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0329,0g106WV09BYFO5b,CD-00117,2020-07-04,2020-08-17,Pfx-abc-7,120,8.8,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0334,iwn5Cy66cUp6A69,CG-0032,2021-01-23,2021-01-27,Pfx-abc-3,130,9.9,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0337,07p1vmi9Tx88qBD,CD-00001,2019-09-19,2019-11-09,Pfx-abc-3,370,7.2,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0337,1541w493xc6FM4F,,2020-05-22,2020-06-14,Pfx-abc-6,15,20.9,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0340,65927A4L79SO035,CD-00004,2020-06-02,2020-07-30,Pfx-abc-8,430,16.2,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0342,656560fx0FsKcag,CD-00023,2020-01-15,2020-03-12,Pfx-abc-4,10,13.6,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0342,0068Fi17T65wr0M,CD-00023,2020-03-13,2020-05-04,Pfx-abc-8,90,14.4,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0351,Ip4674emKhX1CtY,,2020-06-10,2020-06-17,Pfx-3.3,30,17.1,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0352,91bnW43P1D23Iy8,,2020-01-21,2020-03-12,Pfx-3.2,40,9.9,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0356,92F723h4J83388h,,2021-11-20,2022-01-12,Pfx-abc-5,8,10.8,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
