key1,key2,key3,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30
2018-01,Darmstadt,Pack Meal XL,0.1649332757,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pack S,0.0518566053,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pork,8.7833562223,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Tofu,1.5579637842,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Tomato Hot,3.301427477,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Tomato Medium,3.5571079814,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Tomato Mild,2.6436040599,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,2X Split Pack L,0.2334370812,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,4X Bundle,0.3432340566,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,4X Split Pack L,0.317383152,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Beef,13.8387455658,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Bottle,0.119271123,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Grated Cheese,8.4680235189,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Lamb,24.6539616371,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Mustard Hot,5.7278361804,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Mustard Medium,4.6946232916,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Mustard Mild,6.919810756,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack L,0.0958345811,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack M,0.0835298054,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack Meal L,0.1307880707,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack Meal M,0.07775612,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack Meal S,0.0991279339,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack Meal XL,0.165181485,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pack S,0.042168214,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Pork,10.1925584396,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Tofu,1.5623318615,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Tomato Hot,4.0605765943,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Tomato Medium,3.5741778255,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,St. Louis,Tomato Mild,2.8919084205,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,2X Split Pack L,0.2698585035,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,4X Bundle,0.3152633789,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,4X Split Pack L,0.2950066256,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Beef,11.677154891,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Bottle,0.0793283025,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Grated Cheese,8.7509206649,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Lamb,20.1059446515,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Mustard Hot,4.7786329808,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Mustard Medium,4.3940854368,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Mustard Mild,5.2247403918,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack L,0.0901845555,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack M,0.0739345774,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack Meal L,0.1398427885,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack Meal M,0.0786174953,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack Meal S,0.0723242377,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack Meal XL,0.149183245,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pack S,0.0493049189,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Pork,7.3417984494,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Tofu,1.9254384269,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Tomato Hot,2.9898302968,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Tomato Medium,3.3358080707,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,Darmstadt,Tomato Mild,3.6187779485,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,2X Split Pack L,0.2042342321,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,4X Bundle,0.3419405358,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,4X Split Pack L,0.4615108682,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Beef,12.9831801312,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Bottle,0.0973324489,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Grated Cheese,8.4646003905,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Lamb,25.3376323636,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Mustard Hot,5.3423840709,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Mustard Medium,4.9813837499,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Mustard Mild,5.2560999885,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack L,0.0998629344,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack M,0.0642548726,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack Meal L,0.1323025744,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack Meal M,0.095461876,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack Meal S,0.083655905,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack Meal XL,0.1432977594,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pack S,0.0509488642,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Pork,6.7729758681,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Tofu,2.184879759,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Tomato Hot,3.7075075163,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Tomato Medium,3.3602044331,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,St. Louis,Tomato Mild,3.7525579719,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,2X Split Pack L,0.178670955,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,4X Bundle,0.3926757723,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,4X Split Pack L,0.4189441993,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Beef,13.8716962949,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Bottle,0.0869759059,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Grated Cheese,8.398566032,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Lamb,22.9713201986,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Mustard Hot,6.0217870164,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Mustard Medium,4.6539712886,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Mustard Mild,5.7826183919,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack L,0.0947045549,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack M,0.0629050116,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack Meal L,0.1147944219,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack Meal M,0.0975111656,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack Meal S,0.0705810135,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack Meal XL,0.122475997,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pack S,0.0398419701,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Pork,6.0042974869,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Tofu,1.8137797397,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Tomato Hot,3.4977546535,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Tomato Medium,3.8961100537,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,Darmstadt,Tomato Mild,3.3139883705,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,2X Split Pack L,0.2728283925,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,4X Bundle,0.3536458733,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,4X Split Pack L,0.4468257014,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Beef,12.3557335578,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Bottle,0.1055890562,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Grated Cheese,9.060842806,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Lamb,20.7125064622,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Mustard Hot,6.4967842239,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Mustard Medium,6.663325613,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Mustard Mild,5.4832351942,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack L,0.1127448706,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack M,0.0798981432,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack Meal L,0.1463339087,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack Meal M,0.0825749537,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack Meal S,0.0633501796,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack Meal XL,0.1162654441,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pack S,0.0518022794,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Pork,7.2044794738,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Tofu,1.8801693406,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Tomato Hot,4.450616999,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Tomato Medium,4.2886885672,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,St. Louis,Tomato Mild,3.3983595152,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,2X Split Pack L,0.2371379182,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,4X Bundle,0.3246838356,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,4X Split Pack L,0.3926069903,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Beef,12.3890606553,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Bottle,0.1101231538,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Grated Cheese,6.9938664949,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Lamb,28.9363789519,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Mustard Hot,5.2038383296,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Mustard Medium,4.4583275649,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Mustard Mild,4.1105985216,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack L,0.0736907385,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack M,0.0669877087,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack Meal L,0.1326772908,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack Meal M,0.0899472872,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack Meal S,0.0747093088,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack Meal XL,0.1490329169,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pack S,0.038507709,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Pork,7.7582749638,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Tofu,1.4375550987,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Tomato Hot,3.4241922623,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Tomato Medium,3.8358963749,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,Darmstadt,Tomato Mild,3.1910513815,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,2X Split Pack L,0.2121289074,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,4X Bundle,0.3517052748,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,4X Split Pack L,0.4031930204,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Beef,11.5092718695,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Bottle,0.115788378,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Grated Cheese,9.7580109286,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Lamb,26.443365723,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Mustard Hot,5.3343242993,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Mustard Medium,5.9355239881,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Mustard Mild,5.2366137049,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack L,0.0710447068,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack M,0.0798420729,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack Meal L,0.1028385413,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack Meal M,0.0964616906,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack Meal S,0.093649209,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack Meal XL,0.1497293088,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pack S,0.0477738227,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Pork,7.0072227551,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Tofu,2.0401633282,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Tomato Hot,4.4799317055,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Tomato Medium,4.4507171081,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,St. Louis,Tomato Mild,3.6145804278,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,2X Split Pack L,0.258782619,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,4X Bundle,0.3542043816,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,4X Split Pack L,0.3026430933,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Beef,11.8151749822,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Bottle,0.1049092413,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Grated Cheese,5.8868770455,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Lamb,26.2614798146,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Mustard Hot,4.3293136932,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Mustard Medium,6.3425461795,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Mustard Mild,5.1608593797,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack L,0.0655874941,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack M,0.0560970788,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack Meal L,0.1306003244,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack Meal M,0.1032292062,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack Meal S,0.08601362,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack Meal XL,0.1648039702,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pack S,0.0389976527,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Pork,7.9537527597,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Tofu,1.8914647289,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Tomato Hot,3.9723239052,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Tomato Medium,3.9197383978,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,Darmstadt,Tomato Mild,3.4499652902,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,2X Split Pack L,0.2524338355,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,4X Bundle,0.3747649837,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,4X Split Pack L,0.3401154624,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Beef,10.0331566429,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Bottle,0.1008415321,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Grated Cheese,10.123854324,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Lamb,28.0740825602,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Mustard Hot,6.6627303528,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Mustard Medium,5.6759352847,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Mustard Mild,6.513463074,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack L,0.0710382731,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack M,0.0631369316,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack Meal L,0.1182990484,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack Meal M,0.1019812884,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack Meal S,0.0946743737,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack Meal XL,0.16418778,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pack S,0.0441366561,USD,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Pork,8.4557634886,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Tofu,1.4575076873,USD,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Tomato Hot,3.2622784891,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Tomato Medium,3.5957789473,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,St. Louis,Tomato Mild,3.1162583501,USD,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,Darmstadt,2X Split Pack L,0.2172281184,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,Darmstadt,4X Bundle,0.3570664631,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,Darmstadt,4X Split Pack L,0.3555829065,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,Darmstadt,Beef,13.0780408201,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,Darmstadt,Bottle,0.1021979654,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
